name,D_deg_unw,D_deg_wm,D_er_unw,D_er_wm,I_real,dataset_type,N,E,mean_degree,is_weighted,lambda2,clustering,modularity,I_deg,I_ER,measured,cat
bn-mouse-brain-1.edges,0.14250498815604445,0.14250498815604445,0.1744105313966294,0.1744105313966294,0.08717683996779084,Brain,213.0,16089.0,151.07042253521126,False,84.97507806521193,0.758261779684552,0.053730555771216,0.14250498815604445,0.1744105313966294,True,Brain
bn-mouse-kasthuri-graph-v4.edges,0.07483366246626594,0.07483366246626594,0.11665025885114977,0.11665025885114977,0.08558281655481985,Brain,987.0,1535.0,3.110435663627153,False,0.0484144380490238,0.0,0.636870205519422,0.07483366246626594,0.11665025885114977,True,Brain
bn-mouse-retina-1.edges,0.1477080785652443,0.1477080785652443,0.1894647962485608,0.1894647962485608,0.07873545301457159,Brain,1076.0,90811.0,168.79368029739777,False,0.9851882702818794,0.5906286899089397,0.2159977963460242,0.1477080785652443,0.1894647962485608,True,Brain
bn-mouse-visual-cortex-2.edges,0.0707861386360785,0.0707861386360785,0.07280219454298621,0.07280219454298621,0.09325233350135884,Brain,193.0,213.0,2.2072538860103625,False,0.033125963458279,0.0159531433964165,0.7521655756133043,0.0707861386360785,0.07280219454298621,True,Brain
ca-Erdos992.edges.cleaned.tsv,0.12760989943660242,0.12760989943660242,0.12319830076910951,0.12319830076910951,0.08184741941893027,collaboration_networks,5026.0,7456.0,2.9669717469160366,False,0.0194869827417718,0.0018119602447011,0.720291779368864,0.12760989943660242,0.12319830076910951,True,Collaboration
ca-GrQc.edges.cleaned.tsv,0.1285563867787563,0.1285563867787563,0.15338985733602387,0.15338985733602387,0.09737772055363035,collaboration_networks,4058.0,13415.0,6.611631345490389,False,0.0813617368611412,0.0030213330906653,0.5897492459875954,0.1285563867787563,0.15338985733602387,True,Collaboration
ca-netscience.edges.cleaned.tsv,0.0786489686756921,0.0786489686756921,0.11170285926310973,0.11170285926310973,0.029964283486260557,collaboration_networks,352.0,707.0,4.017045454545454,False,0.0487992622654306,0.3427420722010461,0.7915630520417165,0.0786489686756921,0.11170285926310973,True,Collaboration
ca-sandi_auths.edges.cleaned.tsv,0.06680616230228384,0.06680616230228384,0.06443862039725948,0.06443862039725948,0.05074386706183299,collaboration_networks,81.0,119.0,2.938271604938272,False,0.1527962819621268,0.0461404165107868,0.589118000141233,0.06680616230228384,0.06443862039725948,True,Collaboration
eco-foodweb-baydry.edges,0.14739901956318252,0.14739901956318252,0.1724733462767722,0.1724733462767722,0.057029907444027396,Ecology,128.0,2106.0,32.90625,False,1.926350573111104,0.3346418860120206,0.1458645041661819,0.14739901956318252,0.1724733462767722,True,Ecology
eco-foodweb-baywet.edges,0.14894386392942166,0.14894386392942166,0.1740297740553628,0.1740297740553628,0.07127922467565449,Ecology,128.0,2075.0,32.421875,False,1.9268668991371776,0.3346221811495259,0.1472456379735811,0.14894386392942166,0.1740297740553628,True,Ecology
